Rank;Track;Artist;Streams;Date
160;Usted;by Juan Magán, Mala Rodríguez;38471;8/1/19
161;Esclavo de Tus Besos;by Manuel Turizo, Ozuna;38449;8/1/19
162;Te Vi;by Piso 21, Micro TDH;38441;8/1/19
163;Sirenas;by Taburete;38392;8/1/19
164;Mejor No Nos Vemos;by Rels B;38262;8/1/19
165;Me Rehúso;by Danny Ocean;38164;8/1/19
166;Bandolera;by Bryant Myers, Alex Rose;38016;8/1/19
167;If I Can't Have You;by Shawn Mendes;37942;8/1/19
168;Otra Copa;by Bandaga;37802;8/1/19
169;Que Me Baile;by ChocQuibTown, Becky G;37791;8/1/19
170;Piece Of Your Heart;by MEDUZA, Goodboys;37506;8/1/19
171;Tenamoras;by DELLAFUENTE, Mala Rodríguez;37209;8/1/19
172;High Hopes;by Panic! At The Disco;37102;8/1/19
173;Cuando zarpa el amor (feat. Juan Magán);by Camela;37086;8/1/19
174;Sweet but Psycho;by Ava Max;37085;8/1/19
175;Vuela;by Bombai;36924;8/1/19
176;Como el Agua;by Omar Montes;36667;8/1/19
177;Say My Name;by David Guetta, Bebe Rexha, J Balvin;36354;8/1/19
178;La Cintura;by Alvaro Soler;35989;8/1/19
179;DJ No Pare;by Justin Quiles;35782;8/1/19
180;Dancing With A Stranger (with Normani);by Sam Smith;35740;8/1/19
181;Solterita De Oro;by Lérica, Gente De Zona, Leslie Shaw;35593;8/1/19
182;Happy Now;by Kygo, Sandro Cavazza;35513;8/1/19
183;Ta To Gucci (Remix);by Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone;35306;8/1/19
184;Dio$ No$ Libre Del Dinero;by ROSALÍA;35300;8/1/19
185;bad guy (with Justin Bieber);by Billie Eilish;35289;8/1/19
186;Mi Religión;by Nil Moliner;34930;8/1/19
187;Como Si Fueras a Morir Mañana;by Leiva;34829;8/1/19
188;Antes de Morirme (feat. Rosalía);by C. Tangana, ROSALÍA;34536;8/1/19
189;Échame La Culpa;by Luis Fonsi, Demi Lovato;34428;8/1/19
190;Booty;by C. Tangana, Becky G;34304;8/1/19
191;Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles);by Paulo Londra;34087;8/1/19
192;Girls Like You (feat. Cardi B) - Cardi B Version;by Maroon 5;33772;8/1/19
193;Déjame Ser;by Manuel Carrasco;33708;8/1/19
194;LHNA (with Anuel AA);by RobGz;33504;8/1/19
195;Shape of You;by Ed Sheeran;33501;8/1/19
196;Guayo;by Zion & Lennox, Anuel AA, Haze;33417;8/1/19
197;Every Breath You Take;by The Police;33387;8/1/19
198;No te enamores;by Efecto Pasillo;33203;8/1/19
199;Carolina - En directo 2000;by M-Clan;33062;8/1/19
