Rank;Track;Artist;Streams;Date
85;MALAMENTE - Cap.1: Augurio;by ROSALÍA;60694;08/31/2019
86;Trueno: Bzrp Freestyle Sessions, Vol. 6;by Bizarrap, Trueno;60690;08/31/2019
87;Aleluya;by Reik, Manuel Turizo;59981;08/31/2019
88;Que Mas Pues - Remix;by Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez;58286;08/31/2019
89;Bellacoso;by Residente, Bad Bunny;57781;08/31/2019
90;Una Vida Para Recordar;by Piso 21, Myke Towers;56230;08/31/2019
91;Adan y Eva;by Paulo Londra;55660;08/31/2019
92;Un Año;by Sebastian Yatra, Reik;54898;08/31/2019
93;Nicki Nicole: Bzrp Music Sessions, Vol. 13;by Bizarrap, Nicki Nicole;54893;08/31/2019
94;Maldición;by Lola Indigo, Lalo Ebratt;54657;08/31/2019
95;Nada Sale Mal;by Aitana;54238;08/31/2019
96;Amanece;by Anuel AA, Haze;54197;08/31/2019
97;Baila Baila Baila;by Ozuna;53806;08/31/2019
98;Mi Persona Favorita;by Alejandro Sanz, Camila Cabello;53696;08/31/2019
99;Ransom;by Lil Tecca;53474;08/31/2019
100;Old Town Road - Remix;by Lil Nas X, Billy Ray Cyrus;53214;08/31/2019
101;Ocean;by KAROL G;53019;08/31/2019
102;Ella Quiere Beber - Remix;by Anuel AA, Romeo Santos;52710;08/31/2019
103;Me llama;by Beret;52582;08/31/2019
104;Muito Calor;by Ozuna, Anitta;52459;08/31/2019
105;Secreto;by Anuel AA, KAROL G;52371;08/31/2019
106;La Respuesta;by Becky G, Maluma;51825;08/31/2019
107;Someone You Loved;by Lewis Capaldi;51254;08/31/2019
108;Instagram;by Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike;51026;08/31/2019
109;Celébrate;by Miki Núñez;50881;08/31/2019
110;Baila Baila Baila - Remix;by Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA;50739;08/31/2019
111;Amor Genuino;by Ozuna;49691;08/31/2019
112;Tú No Amas;by Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel;48818;08/31/2019
113;Cambio;by Ozuna, Anuel AA;48247;08/31/2019
114;nana triste;by Natalia Lacunza, Guitarricadelafuente;47349;08/31/2019
115;Cúrame (feat. Manuel Turizo);by Prince Royce;46495;08/31/2019
116;Con La Miel En Los Labios;by Aitana;46096;08/31/2019
117;Sobrenatural;by Juan Magán, Alvaro Soler, Marielle Hazlo;45736;08/31/2019
118;Soldadito marinero;by Fito y Fitipaldis;45176;08/31/2019
119;Shallow;by Lady Gaga, Bradley Cooper;44580;08/31/2019
120;Sucker;by Jonas Brothers;44460;08/31/2019
121;Vas A Quedarte;by Aitana;44193;08/31/2019
122;Beautiful People (feat. Khalid);by Ed Sheeran;43520;08/31/2019
123;Aullando;by Wisin & Yandel, Romeo Santos;43236;08/31/2019
124;Princesas;by Pereza;43185;08/31/2019
125;No Te Preocupes por Mi;by Leiva;43128;08/31/2019
126;Sin Pijama;by Becky G, Natti Natasha;43013;08/31/2019
127;Pa ti pa mí na má;by Demarco Flamenco;42850;08/31/2019
128;No Se Me Quita (feat. Ricky Martin);by Maluma;42369;08/31/2019
129;Latina (feat. Maluma);by Reykon;42211;08/31/2019
130;Serpiente Veneno (feat. Ele A El Dominio);by Kidd Keo;42064;08/31/2019
131;Déjala Que Baile (with Alejandro Sanz & Arkano);by Melendi;41932;08/31/2019
132;Como Tu;by Bandaga;41853;08/31/2019
133;Por Eso Vine;by Paulo Londra;41800;08/31/2019
134;Te echo de menos;by Beret;41527;08/31/2019
135;Fuego;by Estopa;41392;08/31/2019
136;Mujer Bruja;by Lola Indigo, Mala Rodríguez;41255;08/31/2019
137;En Cero;by Yandel, Sebastian Yatra, Manuel Turizo;41190;08/31/2019
138;Te esperaré toda la vida;by Dani Fernández;40968;08/31/2019
139;Vaina Loca;by Ozuna, Manuel Turizo;40365;08/31/2019
140;Nada;by Cazzu, Lyanno, Rauw Alejandro, Dalex;40355;08/31/2019
141;Cuando zarpa el amor (feat. Juan Magán);by Camela;40050;08/31/2019
142;Cuando Nadie Ve;by Morat;39536;08/31/2019
143;Punto G;by KAROL G;39280;08/31/2019
144;Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky);by Dvicio, Jesús Reik;39157;08/31/2019
145;Te Olvidaré;by MYA, Pedro Capó;38978;08/31/2019
146;Disparos;by Dani Fernández;38937;08/31/2019
147;Don't Call Me Up;by Mabel;38391;08/31/2019
148;Lo siento;by Beret;38217;08/31/2019
149;How Do You Sleep?;by Sam Smith;37913;08/31/2019
150;Como Camarón;by Estopa;37913;08/31/2019
151;Vida;by Maka;37836;08/31/2019
152;El Efecto;by Rauw Alejandro, Chencho Corleone;37496;08/31/2019
153;Mona Lisa;by Nacho, Nicky Jam;37492;08/31/2019
154;Cristina;by Sebastian Yatra;36564;08/31/2019
155;Imposible;by Luis Fonsi, Ozuna;36561;08/31/2019
156;Yyanosé;by Israel B, LOWLIGHT;36393;08/31/2019
157;Ya No Quiero Ná;by Lola Indigo;36030;08/31/2019
158;Bandolera;by Bryant Myers, Alex Rose;35947;08/31/2019
159;Piece Of Your Heart;by MEDUZA, Goodboys;35718;08/31/2019
160;Vuela;by Bombai;35700;08/31/2019
161;Bohemian Rhapsody - Remastered 2011;by Queen;35670;08/31/2019
162;Perdón;by David Bisbal, Greeicy;35611;08/31/2019
163;TELÉFONO;by Aitana;35221;08/31/2019
164;Mi Religión;by Nil Moliner;35055;08/31/2019
165;Antes de Morirme (feat. Rosalía);by C. Tangana, ROSALÍA;34889;08/31/2019
166;Desconocidos;by Mau y Ricky, Manuel Turizo, Camilo;34744;08/31/2019
167;Borracho & Loco;by Keen Levy;34683;08/31/2019
168;Otra Vez;by Justin Quiles;34571;08/31/2019
169;PIENSO EN TU MIRÁ - Cap.3: Celos;by ROSALÍA;34503;08/31/2019
170;Brasilera;by Dvicio;34177;08/31/2019
171;Apriétala;by Rvfv;34142;08/31/2019
172;Esclavo de Tus Besos;by Manuel Turizo, Ozuna;34069;08/31/2019
173;La Libertad;by Alvaro Soler;33846;08/31/2019
174;Besos En Guerra;by Morat, Juanes;33836;08/31/2019
175;Circles;by Post Malone;33707;08/31/2019
176;Otra Copa;by Bandaga;33587;08/31/2019
177;Guantanamera;by Guitarricadelafuente;33489;08/31/2019
178;Esa Carita Que Me Llevas;by Locoplaya, InnerCut;33197;08/31/2019
179;Sirenas;by Taburete;33110;08/31/2019
180;La Boca;by Mau y Ricky, Camilo;33098;08/31/2019
181;Adictiva;by Daddy Yankee, Anuel AA;32952;08/31/2019
182;Como Si Fueras a Morir Mañana;by Leiva;32616;08/31/2019
183;Usted;by Juan Magán, Mala Rodríguez;32418;08/31/2019
184;ABC;by Guitarricadelafuente;32369;08/31/2019
185;A Partir De Hoy;by David Bisbal, Sebastian Yatra;32364;08/31/2019
186;Hasta Abajo;by Kevin Roldan, Bryant Myers, Lyanno;32302;08/31/2019
187;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);by DJ Snake;32291;08/31/2019
188;MIA (feat. Drake);by Bad Bunny;31879;08/31/2019
189;Goodbyes (Feat. Young Thug);by Post Malone;31756;08/31/2019
190;Ganas Sobran;by Bryant Myers, Miky Woodz, Justin Quiles;31722;08/31/2019
191;La Plata (feat. Lalo Ebratt);by Juanes;31648;08/31/2019
192;Me Rehúso;by Danny Ocean;31374;08/31/2019
193;Quiero, Quiero y Quiero;by Arnau Griso;31283;08/31/2019
194;Te Vi;by Piso 21, Micro TDH;31279;08/31/2019
195;Nota Loca - Remix;by Eklectico, NeonG, Jamby El Favo, Felo Blonck, Galindo Again;31132;08/31/2019
196;No Lo Trates;by Pitbull, Daddy Yankee, Natti Natasha;31055;08/31/2019
197;Déjame Ser;by Manuel Carrasco;30961;08/31/2019
198;Benicàssim;by Juancho Marqués, Don Patricio, InnerCut;30908;08/31/2019
199;Soltera;by Lunay, Chris Jedi, Gaby Music;30884;08/31/2019
200;7 rings;by Ariana Grande;30368;08/31/2019
1;China;by Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;443287;9/1/19
2;Yo x Ti, Tu x Mi;by ROSALÍA, Ozuna;417721;9/1/19
3;Adicto (with Anuel AA & Ozuna);by Tainy;301302;9/1/19
4;Otro Trago - Remix;by Sech, Ozuna, Anuel AA, Darell, Nicky Jam;274597;9/1/19
5;Goteo;by Duki;240668;9/1/19
6;De Tranquilote;by Danny Romero, Lérica;236370;9/1/19
7;Callaita;by Bad Bunny, Tainy;236128;9/1/19
8;La Rubia - Remix 2;by La Nueva Escuela, Omar Montes;206601;9/1/19
9;LA CANCIÓN;by J Balvin, Bad Bunny;203395;9/1/19
10;No Me Conoce - Remix;by Jhay Cortez, J Balvin, Bad Bunny;203192;9/1/19
11;Diavla;by Chris Viz, Young Vene;194530;9/1/19
12;Señorita;by Shawn Mendes, Camila Cabello;187155;9/1/19
13;Soltera (Remix);by Lunay, Daddy Yankee, Bad Bunny;182555;9/1/19
14;Baila Conmigo (feat. Kelly Ruiz);by Dayvi, Victor Cardenas, Kelly Ruíz;181114;9/1/19
15;QUE PRETENDES;by J Balvin, Bad Bunny;176223;9/1/19
16;Lola Bunny;by Lola Indigo, Don Patricio;174970;9/1/19
17;Contando Lunares (feat. Cruz Cafuné);by Don Patricio;165950;9/1/19
18;Loco Contigo (feat. J. Balvin & Tyga);by DJ Snake, J Balvin;164119;9/1/19
19;Velitas;by Darell, Brytiago;159115;9/1/19
20;DOLLAR;by Becky G, Myke Towers;158238;9/1/19
21;Gan-Ga;by Bryant Myers;150948;9/1/19
22;Indios y Vaqueros;by Sinsinati, Álvaro De Luna;140198;9/1/19
23;A Escondidas;by $kyhook, Morad;139173;9/1/19
24;Con Altura;by ROSALÍA, J Balvin, El Guincho;139008;9/1/19
25;Si Se Da - Remix;by Myke Towers, Farruko, Arcangel, Sech, Zion;138590;9/1/19
26;Mirándote;by Rvfv;137970;9/1/19
27;11:00 PM;by Maluma;134711;9/1/19
28;Cristina (feat. Shelow Shaq);by Maffio, Justin Quiles, Nacho;124839;9/1/19
29;Verte Ir;by DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago;119916;9/1/19
30;Easy;by Jhay Cortez;118944;9/1/19
31;Tutu;by Camilo, Pedro Capó;116409;9/1/19
32;Inocente;by Myke Towers;114561;9/1/19
33;Milionària;by ROSALÍA;113776;9/1/19
34;Rebota - Remix;by Guaynaa, Nicky Jam, Farruko, Becky G, Sech;113511;9/1/19
35;Con Calma;by Daddy Yankee, Snow;111281;9/1/19
36;Calma - Remix;by Pedro Capó, Farruko;110199;9/1/19
37;Bésame;by David Bisbal, Juan Magán;109493;9/1/19
38;Cuaderno;by Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön;106887;9/1/19
39;Te Soñé de Nuevo;by Ozuna, Barloe Team;102760;9/1/19
40;No Te Veo - Remix;by Casper Magico, Anuel AA;102662;9/1/19
41;Soldi (feat. Maikel Delacalle);by Mahmood;101737;9/1/19
42;Ellos;by Ceky Viciny;101248;9/1/19
43;Santa María (Feat. Busy Signal);by Bad Gyal;98875;9/1/19
44;Hola Señorita;by GIMS, Maluma;96288;9/1/19
45;Mi Morena;by Juanfran;94922;9/1/19
46;¿CÓMO TE VA, QUERIDA?;by Rels B, Don Patricio;92247;9/1/19
47;Atrévete;by Nicky Jam, Sech;90468;9/1/19
48;Enchochado de Ti;by Don Patricio;90348;9/1/19
49;I Don't Care (with Justin Bieber);by Ed Sheeran;90104;9/1/19
50;Cicatrices (feat. Indara);by Sergio Contreras;89177;9/1/19
51;Soldadito de Hierro;by Nil Moliner;88929;9/1/19
52;Te Quemaste;by Manuel Turizo, Anuel AA;87686;9/1/19
53;Cuerpo en Venta;by Noriel, Myke Towers, Rauw Alejandro, Almighty;81623;9/1/19
54;Te Robaré;by Nicky Jam, Ozuna;77660;9/1/19
55;Tal Vez;by Paulo Londra;77341;9/1/19
56;Runaway;by Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers;75497;9/1/19
57;Lalala;by Y2K, bbno$;75142;9/1/19
58;Swing;by Danny Ocean;75094;9/1/19
59;Me Quedo;by Aitana, Lola Indigo;74971;9/1/19
60;El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay);by Dímelo Flow;74515;9/1/19
61;bad guy;by Billie Eilish;73569;9/1/19
62;MOJAITA;by J Balvin, Bad Bunny;71851;9/1/19
63;Déjate Querer;by Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds;71703;9/1/19
64;CANGURO;by WOS;71486;9/1/19
65;HP;by Maluma;70632;9/1/19
66;Presiento;by Morat, Aitana;70552;9/1/19
67;Otro Trago;by Sech, Darell;65890;9/1/19
68;Kemba Walker;by Eladio Carrion, Bad Bunny;65816;9/1/19
69;Qué Bonito Es Querer;by Manuel Carrasco;65447;9/1/19
70;Mírame - Remix;by Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell;64748;9/1/19
71;Hookah;by Bad Gyal;64462;9/1/19
72;Delincuente;by Farruko, Anuel AA, Kendo Kaponi;63610;9/1/19
73;Pa Mí - Remix;by Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez;63470;9/1/19
74;Date La Vuelta;by Luis Fonsi, Sebastian Yatra, Nicky Jam;62863;9/1/19
75;La Playa;by Myke Towers;60059;9/1/19
76;Contra La Pared;by Sean Paul, J Balvin;59391;9/1/19
77;5 Sentidos;by Dvicio, Taburete;58651;9/1/19
78;Trueno: Bzrp Freestyle Sessions, Vol. 6;by Bizarrap, Trueno;57804;9/1/19
79;Si Supieras;by Daddy Yankee, Wisin & Yandel;57301;9/1/19
80;Boomerang;by Sech;55226;9/1/19
81;La Boca - Remix;by Mau y Ricky, Camilo, Lunay;55197;9/1/19
82;Aute Cuture;by ROSALÍA;54591;9/1/19
83;Autoestima (Feat. Lola Indigo, Alizzz) - Remix;by Cupido;54462;9/1/19
84;Si Se Da;by Myke Towers, Farruko;53283;9/1/19
85;Indeciso;by Reik, J Balvin, Lalo Ebratt;53189;9/1/19
86;MALAMENTE - Cap.1: Augurio;by ROSALÍA;52482;9/1/19
87;Ransom;by Lil Tecca;51877;9/1/19
88;Nicki Nicole: Bzrp Music Sessions, Vol. 13;by Bizarrap, Nicki Nicole;51716;9/1/19
89;Un Año;by Sebastian Yatra, Reik;49851;9/1/19
90;Someone You Loved;by Lewis Capaldi;49528;9/1/19
91;Que Mas Pues - Remix;by Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez;49334;9/1/19
92;Aleluya;by Reik, Manuel Turizo;49142;9/1/19
93;Una Vida Para Recordar;by Piso 21, Myke Towers;48472;9/1/19
94;Old Town Road - Remix;by Lil Nas X, Billy Ray Cyrus;48244;9/1/19
95;Mi Persona Favorita;by Alejandro Sanz, Camila Cabello;48084;9/1/19
96;Me llama;by Beret;47907;9/1/19
97;Nada Sale Mal;by Aitana;47591;9/1/19
98;Bellacoso;by Residente, Bad Bunny;47089;9/1/19
99;Adan y Eva;by Paulo Londra;46950;9/1/19
100;Ocean;by KAROL G;46483;9/1/19
101;nana triste;by Natalia Lacunza, Guitarricadelafuente;46191;9/1/19
102;Amanece;by Anuel AA, Haze;46190;9/1/19
103;Secreto;by Anuel AA, KAROL G;44047;9/1/19
104;Maldición;by Lola Indigo, Lalo Ebratt;43980;9/1/19
105;Celébrate;by Miki Núñez;43758;9/1/19
106;Tú No Amas;by Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel;43436;9/1/19
107;Cambio;by Ozuna, Anuel AA;43326;9/1/19
108;Shallow;by Lady Gaga, Bradley Cooper;43213;9/1/19
109;Baila Baila Baila - Remix;by Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA;43101;9/1/19
110;Muito Calor;by Ozuna, Anitta;42985;9/1/19
111;Ella Quiere Beber - Remix;by Anuel AA, Romeo Santos;42825;9/1/19
112;Con La Miel En Los Labios;by Aitana;42691;9/1/19
113;Baila Baila Baila;by Ozuna;42620;9/1/19
114;Amor Genuino;by Ozuna;42451;9/1/19
115;Instagram;by Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike;41394;9/1/19
116;No Te Preocupes por Mi;by Leiva;41372;9/1/19
117;La Respuesta;by Becky G, Maluma;40995;9/1/19
118;Soldadito marinero;by Fito y Fitipaldis;40973;9/1/19
119;Vas A Quedarte;by Aitana;40517;9/1/19
120;Princesas;by Pereza;39356;9/1/19
121;Sucker;by Jonas Brothers;38957;9/1/19
122;Beautiful People (feat. Khalid);by Ed Sheeran;38886;9/1/19
123;Te echo de menos;by Beret;38506;9/1/19
124;Sobrenatural;by Juan Magán, Alvaro Soler, Marielle Hazlo;37707;9/1/19
125;Cúrame (feat. Manuel Turizo);by Prince Royce;37633;9/1/19
126;Nada;by Cazzu, Lyanno, Rauw Alejandro, Dalex;37594;9/1/19
127;Serpiente Veneno (feat. Ele A El Dominio);by Kidd Keo;37555;9/1/19
128;Como Tu;by Bandaga;37228;9/1/19
129;Pa ti pa mí na má;by Demarco Flamenco;36873;9/1/19
130;Por Eso Vine;by Paulo Londra;36667;9/1/19
131;Lo siento;by Beret;36021;9/1/19
132;Te esperaré toda la vida;by Dani Fernández;35840;9/1/19
133;Déjala Que Baile (with Alejandro Sanz & Arkano);by Melendi;35807;9/1/19
134;Fuego;by Estopa;35584;9/1/19
135;Cuando Nadie Ve;by Morat;35580;9/1/19
136;Yyanosé;by Israel B, LOWLIGHT;35328;9/1/19
137;Aullando;by Wisin & Yandel, Romeo Santos;35228;9/1/19
138;How Do You Sleep?;by Sam Smith;34439;9/1/19
139;En Cero;by Yandel, Sebastian Yatra, Manuel Turizo;34257;9/1/19
140;No Se Me Quita (feat. Ricky Martin);by Maluma;34208;9/1/19
141;Sin Pijama;by Becky G, Natti Natasha;34098;9/1/19
142;Vida;by Maka;33976;9/1/19
143;Disparos;by Dani Fernández;33974;9/1/19
144;Guantanamera;by Guitarricadelafuente;33972;9/1/19
145;Latina (feat. Maluma);by Reykon;33698;9/1/19
146;Mujer Bruja;by Lola Indigo, Mala Rodríguez;33670;9/1/19
147;El Efecto;by Rauw Alejandro, Chencho Corleone;33565;9/1/19
148;Cristina;by Sebastian Yatra;33285;9/1/19
149;Don't Call Me Up;by Mabel;33237;9/1/19
150;Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky);by Dvicio, Jesús Reik;33041;9/1/19
151;Circles;by Post Malone;33033;9/1/19
152;Como Camarón;by Estopa;32857;9/1/19
153;Apriétala;by Rvfv;32421;9/1/19
154;Cuando zarpa el amor (feat. Juan Magán);by Camela;32308;9/1/19
155;Vaina Loca;by Ozuna, Manuel Turizo;32267;9/1/19
156;Piece Of Your Heart;by MEDUZA, Goodboys;31710;9/1/19
157;Bandolera;by Bryant Myers, Alex Rose;31506;9/1/19
158;Bohemian Rhapsody - Remastered 2011;by Queen;31329;9/1/19
159;Punto G;by KAROL G;31282;9/1/19
160;Te Olvidaré;by MYA, Pedro Capó;31176;9/1/19
161;Borracho & Loco;by Keen Levy;31108;9/1/19
162;Mi Religión;by Nil Moliner;31048;9/1/19
163;Imposible;by Luis Fonsi, Ozuna;30996;9/1/19
164;PIENSO EN TU MIRÁ - Cap.3: Celos;by ROSALÍA;30914;9/1/19
165;Sirenas;by Taburete;30808;9/1/19
166;TELÉFONO;by Aitana;30606;9/1/19
167;Antes de Morirme (feat. Rosalía);by C. Tangana, ROSALÍA;30516;9/1/19
168;Besos En Guerra;by Morat, Juanes;30495;9/1/19
169;Perdón;by David Bisbal, Greeicy;30420;9/1/19
170;Vuela;by Bombai;30215;9/1/19
171;Como Si Fueras a Morir Mañana;by Leiva;30164;9/1/19
172;Ya No Quiero Ná;by Lola Indigo;29927;9/1/19
173;Mona Lisa;by Nacho, Nicky Jam;29614;9/1/19
174;Goodbyes (Feat. Young Thug);by Post Malone;29508;9/1/19
175;Ganas Sobran;by Bryant Myers, Miky Woodz, Justin Quiles;29013;9/1/19
176;Otra Copa;by Bandaga;28954;9/1/19
177;Cicatrices;by Natos y Waor;28722;9/1/19
178;Nota Loca - Remix;by Eklectico, NeonG, Jamby El Favo, Felo Blonck, Galindo Again;28650;9/1/19
179;Hasta Abajo;by Kevin Roldan, Bryant Myers, Lyanno;28626;9/1/19
180;Mejor No Nos Vemos;by Rels B;28528;9/1/19
181;Adictiva;by Daddy Yankee, Anuel AA;28311;9/1/19
182;Esclavo de Tus Besos;by Manuel Turizo, Ozuna;28147;9/1/19
183;Otra Vez;by Justin Quiles;28142;9/1/19
184;Déjame Ser;by Manuel Carrasco;28105;9/1/19
185;Desconocidos;by Mau y Ricky, Manuel Turizo, Camilo;28050;9/1/19
186;Esa Carita Que Me Llevas;by Locoplaya, InnerCut;27886;9/1/19
187;A Partir De Hoy;by David Bisbal, Sebastian Yatra;27737;9/1/19
188;Lover;by Taylor Swift;27720;9/1/19
189;7 rings;by Ariana Grande;27699;9/1/19
190;Benicàssim;by Juancho Marqués, Don Patricio, InnerCut;27673;9/1/19
191;La Boca;by Mau y Ricky, Camilo;27625;9/1/19
192;Brasilera;by Dvicio;27246;9/1/19
193;Te Quiodio;by Pol Granch;27196;9/1/19
194;Soldi;by Mahmood;27181;9/1/19
195;Un Planeta Llamado Nosotros;by Maldita Nerea;27068;9/1/19
196;La Libertad;by Alvaro Soler;27020;9/1/19
197;Prendío;by Rvfv;26996;9/1/19
198;ABC;by Guitarricadelafuente;26878;9/1/19
199;Por la boca vive el pez;by Fito y Fitipaldis;26811;9/1/19
200;Como Ronea (15 Aniversario);by Las Chuches, Daviles de Novelda;26769;9/1/19
1;China;by Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;512942;9/2/19
2;Yo x Ti, Tu x Mi;by ROSALÍA, Ozuna;493361;9/2/19
3;Adicto (with Anuel AA & Ozuna);by Tainy;362356;9/2/19
4;Otro Trago - Remix;by Sech, Ozuna, Anuel AA, Darell, Nicky Jam;316312;9/2/19
5;De Tranquilote;by Danny Romero, Lérica;298230;9/2/19
6;Goteo;by Duki;294447;9/2/19
7;Callaita;by Bad Bunny, Tainy;270091;9/2/19
8;La Rubia - Remix 2;by La Nueva Escuela, Omar Montes;240523;9/2/19
9;No Me Conoce - Remix;by Jhay Cortez, J Balvin, Bad Bunny;236319;9/2/19
10;LA CANCIÓN;by J Balvin, Bad Bunny;231938;9/2/19
11;Diavla;by Chris Viz, Young Vene;227082;9/2/19
12;Señorita;by Shawn Mendes, Camila Cabello;214714;9/2/19
13;Soltera (Remix);by Lunay, Daddy Yankee, Bad Bunny;208452;9/2/19
14;QUE PRETENDES;by J Balvin, Bad Bunny;200528;9/2/19
15;Lola Bunny;by Lola Indigo, Don Patricio;199008;9/2/19
16;Baila Conmigo (feat. Kelly Ruiz);by Dayvi, Victor Cardenas, Kelly Ruíz;198330;9/2/19
17;Loco Contigo (feat. J. Balvin & Tyga);by DJ Snake, J Balvin;191978;9/2/19
18;Velitas;by Darell, Brytiago;188532;9/2/19
19;DOLLAR;by Becky G, Myke Towers;184854;9/2/19
20;Contando Lunares (feat. Cruz Cafuné);by Don Patricio;181319;9/2/19
21;Gan-Ga;by Bryant Myers;174525;9/2/19
22;Indios y Vaqueros;by Sinsinati, Álvaro De Luna;166375;9/2/19
23;A Escondidas;by $kyhook, Morad;165740;9/2/19
24;Si Se Da - Remix;by Myke Towers, Farruko, Arcangel, Sech, Zion;160450;9/2/19
25;11:00 PM;by Maluma;159166;9/2/19
26;Tutu;by Camilo, Pedro Capó;153146;9/2/19
27;Con Altura;by ROSALÍA, J Balvin, El Guincho;152835;9/2/19
28;Mirándote;by Rvfv;151343;9/2/19
29;Easy;by Jhay Cortez;140777;9/2/19
30;Te Quemaste;by Manuel Turizo, Anuel AA;131969;9/2/19
31;Inocente;by Myke Towers;131168;9/2/19
32;Rebota - Remix;by Guaynaa, Nicky Jam, Farruko, Becky G, Sech;130855;9/2/19
33;Cristina (feat. Shelow Shaq);by Maffio, Justin Quiles, Nacho;129407;9/2/19
34;Verte Ir;by DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago;129033;9/2/19
35;Milionària;by ROSALÍA;127322;9/2/19
36;Cuaderno;by Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön;123791;9/2/19
37;Bésame;by David Bisbal, Juan Magán;122205;9/2/19
38;Con Calma;by Daddy Yankee, Snow;121799;9/2/19
39;Te Soñé de Nuevo;by Ozuna, Barloe Team;119009;9/2/19
40;Calma - Remix;by Pedro Capó, Farruko;118593;9/2/19
41;No Te Veo - Remix;by Casper Magico, Anuel AA;117877;9/2/19
42;Soldi (feat. Maikel Delacalle);by Mahmood;115620;9/2/19
43;Ellos;by Ceky Viciny;115110;9/2/19
44;Santa María (Feat. Busy Signal);by Bad Gyal;113859;9/2/19
45;El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay);by Dímelo Flow;113258;9/2/19
46;Hola Señorita;by GIMS, Maluma;109776;9/2/19
47;I Don't Care (with Justin Bieber);by Ed Sheeran;108978;9/2/19
48;Atrévete;by Nicky Jam, Sech;106259;9/2/19
49;¿CÓMO TE VA, QUERIDA?;by Rels B, Don Patricio;105635;9/2/19
50;Enchochado de Ti;by Don Patricio;104354;9/2/19
51;Mi Morena;by Juanfran;104264;9/2/19
52;Cicatrices (feat. Indara);by Sergio Contreras;102380;9/2/19
53;Lalala;by Y2K, bbno$;99984;9/2/19
54;Cuerpo en Venta;by Noriel, Myke Towers, Rauw Alejandro, Almighty;98426;9/2/19
55;bad guy;by Billie Eilish;93985;9/2/19
56;Soldadito de Hierro;by Nil Moliner;91453;9/2/19
57;Te Robaré;by Nicky Jam, Ozuna;88611;9/2/19
58;Déjate Querer;by Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds;86489;9/2/19
59;Tal Vez;by Paulo Londra;86061;9/2/19
60;Swing;by Danny Ocean;85824;9/2/19
61;Me Quedo;by Aitana, Lola Indigo;85793;9/2/19
62;CANGURO;by WOS;84535;9/2/19
63;Runaway;by Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers;83888;9/2/19
64;Presiento;by Morat, Aitana;81776;9/2/19
65;MOJAITA;by J Balvin, Bad Bunny;81736;9/2/19
66;HP;by Maluma;77999;9/2/19
67;Qué Bonito Es Querer;by Manuel Carrasco;77456;9/2/19
68;Mírame - Remix;by Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell;76809;9/2/19
69;Hookah;by Bad Gyal;76531;9/2/19
70;Delincuente;by Farruko, Anuel AA, Kendo Kaponi;74769;9/2/19
71;Otro Trago;by Sech, Darell;74066;9/2/19
72;Pa Mí - Remix;by Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez;70900;9/2/19
